"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
135,12/31/2023 0:00:00,70,0,0,0,0,0,0,2006193,0,0,0,0,0,0,0,3478371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294423,0,0,493869,7182583,0,0,0,0,909727,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,187,182,0,0,0,0,0,0,264
138,12/31/2023 0:00:00,72,0,0,0,0,0,0,536084,0,0,0,0,0,0,0,2119444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2697334,0,0,0,0,41806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,31,0,0,0,0,0,0,76
146,12/31/2023 0:00:00,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
147,12/31/2023 0:00:00,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
150,12/31/2023 0:00:00,77,0,0,0,0,0,0,18463559,0,0,0,0,0,0,0,63546531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14666552,0,0,3601118,108858786,0,0,0,0,8581026,11,35,0,0,0,0,0,1,2,13,9,24,33,2,11,7,9,13,46,300,774,6,0,0,0,0,0,41
151,12/31/2023 0:00:00,78,0,0,0,0,0,0,37522358,0,0,0,0,0,0,0,136157449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26439091,0,0,0,201386415,0,0,0,0,1267517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2583,1633,0,0,0,0,0,0,145
153,12/31/2023 0:00:00,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,12/31/2023 0:00:00,83,0,0,0,0,0,0,121809615,0,0,0,0,0,0,0,106025982,0,0,0,0,0,0,0,0,0,73870995,0,0,0,0,6901585,0,0,8029744,251315094,0,0,0,0,8548168,1525,5,7,550,0,0,232,0,120,5,388,5,377,580,0,14,0,1153,1530,4530,4941,142,3,0,0,0,3,3731
162,12/31/2023 0:00:00,85,0,0,0,0,0,0,13732467,0,0,0,0,0,0,0,10968930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266372,0,0,0,28805361,0,0,0,0,1837592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,209,0,0,0,0,0,0,1359
167,12/31/2023 0:00:00,87,0,0,0,0,0,0,10194376,0,0,0,0,0,0,0,7811021,0,0,0,0,0,0,0,0,0,9311937,0,0,0,0,1429957,0,0,1499965,20935319,0,0,0,0,0,625,3,5,21,0,0,132,2,0,0,360,3,363,239,0,200,0,265,628,1654,451,0,27,0,0,0,27,2729
168,12/31/2023 0:00:00,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447500,0,0,0,0,447500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,51,0,0,0,0,0,0,417
169,12/31/2023 0:00:00,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,12/31/2023 0:00:00,91,0,0,0,0,0,0,52595,0,0,0,0,0,0,0,30862350,0,0,0,0,0,0,0,0,0,3275536,0,0,0,0,77392,0,0,4799516,36692634,0,0,0,0,900781,87,9,35,9,0,0,8,0,21,1,35,3,38,8,6,4,1,58,96,738,80,4,0,0,0,0,0,903
176,12/31/2023 0:00:00,92,0,0,0,0,0,0,15143410,0,0,0,0,0,0,0,70038523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32986149,168395597,0,0,0,0,50227515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371,815,0,0,0,0,0,0,1506
187,12/31/2023 0:00:00,100,0,0,0,0,0,0,79716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483547,0,0,58770,627813,0,0,0,0,5780,6,0,0,0,0,0,1,0,4,0,6,0,7,0,0,1,0,0,6,35,17,3,0,0,0,0,0,45
195,12/31/2023 0:00:00,104,0,0,0,0,0,0,22390,0,0,0,0,0,0,0,635041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892158,0,0,0,0,234727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,138
196,12/31/2023 0:00:00,105,0,0,0,0,0,0,40465512,0,0,0,0,0,0,0,425456690,0,0,0,0,0,0,0,0,0,7834792,0,0,0,0,0,0,0,12828707,560624487,0,0,0,0,81873578,540,0,2,2,0,0,117,0,152,0,283,0,283,253,0,12,0,257,540,2710,6858,6,0,0,0,0,0,4473
198,12/31/2023 0:00:00,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,39
199,12/31/2023 0:00:00,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142858,0,0,1882170,6234866,0,0,0,0,4034668,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,600,13,0,0,0,0,0,0,323
200,12/31/2023 0:00:00,109,0,0,0,0,0,0,368672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,13
205,12/31/2023 0:00:00,112,0,0,0,0,0,0,4752394,0,0,0,0,0,0,0,24844272,0,0,0,0,0,0,0,0,0,164978,0,0,0,0,0,0,0,14500,33620366,0,0,0,0,4009200,54,14,0,0,0,0,0,0,0,0,51,14,65,3,0,51,14,3,68,946,246,0,0,0,0,0,0,54
216,12/31/2023 0:00:00,116,0,0,0,0,0,0,1858847,0,0,0,0,0,0,0,8313944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681611,0,0,699867,12911526,0,0,0,0,1357257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,105,0,0,0,0,0,0,3
220,12/31/2023 0:00:00,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
224,12/31/2023 0:00:00,119,0,0,0,0,0,0,1597844,0,0,0,0,0,0,0,4514314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84363,0,0,0,8182384,0,0,0,0,1985863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,160,7,0,0,0,0,0,515
227,12/31/2023 0:00:00,121,0,0,0,0,0,0,2958751399,0,0,0,0,0,0,0,8223780450,0,0,0,0,0,0,0,0,0,157003600,0,0,0,0,146021918,0,0,141224537,11469778304,0,0,0,0,0,848,8,0,0,0,0,5,0,44,8,64,8,72,784,0,6,0,784,856,29106,38668,5,0,0,0,0,0,58528
233,12/31/2023 0:00:00,124,0,0,0,0,0,0,2167763,0,0,0,0,0,0,0,28903302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600328,0,0,0,34413893,0,0,0,0,1742500,1,14,0,0,0,0,0,0,1,0,1,13,14,0,1,0,13,1,15,611,323,0,0,0,0,0,0,275
234,12/31/2023 0:00:00,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6833235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6833235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,28,0,0,0,0,0,0,82
240,12/31/2023 0:00:00,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5139969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5139969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,216,0,0,0,0,0,0,49
242,12/31/2023 0:00:00,129,0,0,0,0,0,0,1176829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972209,4171052,0,0,0,0,2022014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,87,0,0,0,0,0,0,1022
256,12/31/2023 0:00:00,136,0,0,0,0,0,0,9957172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435440,0,0,100000,13492612,0,0,0,0,0,28,2,0,0,0,0,4,0,9,2,28,2,30,0,0,13,0,0,30,265,332,0,0,0,0,0,0,236
258,12/31/2023 0:00:00,137,0,0,0,0,0,0,267299,0,0,0,0,0,0,0,39066353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75725,0,0,2055606,41503940,0,0,0,0,38957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,101,0,0,0,0,0,0,583
262,12/31/2023 0:00:00,139,0,0,0,0,0,0,3276992,0,0,0,0,0,0,0,1928962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318709,0,0,0,7529598,0,0,0,0,1004935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,86,0,0,0,0,0,0,44
266,12/31/2023 0:00:00,143,0,0,0,0,0,0,11332230,0,0,0,0,0,0,0,12803258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2992655,0,0,0,27566426,0,0,0,0,438283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,409,0,0,0,0,0,0,14
274,12/31/2023 0:00:00,149,0,0,0,0,0,0,3645164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10018,0,0,0,0,0,0,0,799522,4444686,0,0,0,0,0,17,1,0,0,0,0,0,0,8,0,8,1,9,8,0,0,0,9,18,136,208,4,0,1,1,0,2,828
277,12/31/2023 0:00:00,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,12/31/2023 0:00:00,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
288,12/31/2023 0:00:00,155,0,0,0,0,0,0,302884,0,0,0,0,0,0,0,434028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736912,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,27,0,0,0,0,0,0,75
294,12/31/2023 0:00:00,160,0,0,0,0,0,0,21823068,0,0,0,0,0,0,0,53982083,0,0,0,0,0,0,0,0,0,517429,0,0,0,0,56750,0,0,8378203,84338322,0,0,0,0,98218,15,71,0,0,0,0,0,0,0,67,4,71,75,11,0,4,0,11,86,1103,980,0,0,0,0,0,0,584
303,12/31/2023 0:00:00,166,0,0,0,0,0,0,3116412,0,0,0,0,0,0,0,19360825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,1045039,23642564,0,0,0,0,112288,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,151,388,0,0,0,0,0,0,10
306,12/31/2023 0:00:00,168,0,0,0,0,0,0,6402949,0,0,0,0,0,0,0,10418135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19653051,0,0,0,0,2831967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,357,0,0,0,0,0,0,118
319,12/31/2023 0:00:00,173,0,0,0,0,0,0,20491673,0,0,0,0,0,0,0,43440205,0,0,0,0,0,0,0,0,0,84422,0,0,0,0,8169463,0,0,0,76915862,0,0,0,0,4814521,0,25,0,0,0,0,0,4,0,13,0,25,25,0,0,0,7,0,25,441,1380,0,0,0,0,0,0,118
320,12/31/2023 0:00:00,174,0,0,0,0,0,0,3651752,0,0,0,0,0,0,0,4184312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935679,0,0,0,9771743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,133,0,0,0,0,0,0,4
340,12/31/2023 0:00:00,183,0,0,0,0,0,0,24509038,0,0,0,0,0,0,0,127230702,0,0,0,0,0,0,0,0,0,947354,0,0,0,0,5147542,0,0,0,158451684,0,0,0,0,1564402,36,3,0,0,0,0,9,0,9,1,21,3,24,15,0,0,0,15,39,1194,1048,0,0,0,0,0,0,243
352,12/31/2023 0:00:00,188,0,0,0,0,0,0,37060082,0,0,0,0,0,0,0,55060620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6764217,106471551,0,0,0,0,7586632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,712,0,0,0,0,0,0,1183
361,12/31/2023 0:00:00,193,0,0,0,0,0,0,59405692,0,0,0,0,0,0,0,38569081,0,0,0,0,0,0,0,0,0,7656199,0,0,0,0,8061525,0,0,10519,109974740,0,0,0,0,3927923,56,49,2,0,0,0,14,4,31,30,50,48,98,4,1,0,11,7,105,1092,1459,0,0,0,0,0,0,1798
365,12/31/2023 0:00:00,197,0,0,0,0,0,0,2396276,0,0,0,0,0,0,0,5091978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,7519075,0,0,0,0,30264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,45,2,0,0,0,0,0,344
367,12/31/2023 0:00:00,199,0,0,0,0,0,0,241821,0,0,0,0,0,0,0,3936327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80396,0,0,0,4258544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
370,12/31/2023 0:00:00,201,0,0,0,0,0,0,407015,0,0,0,0,0,0,0,3255434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3662449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,0,0,0,0,0,0,22
373,12/31/2023 0:00:00,203,0,0,0,0,0,0,691316,0,0,0,0,0,0,0,5993490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8392505,0,0,0,0,1707699,29,0,0,0,0,0,0,0,28,0,28,0,28,1,0,0,0,1,29,349,99,0,0,0,0,0,0,58
376,12/31/2023 0:00:00,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,77
